Time,Surv,Control,pH7.8,pH7.5
172,19,1,0,0
173,19,1,0,0
174,19,1,0,0
175,19,1,0,0
176,19,1,0,0
177,19,1,0,0
178,19,1,0,0
179,19,1,0,0
180,19,1,0,0
181,19,1,0,0
182,19,1,0,0
183,19,1,0,0
184,19,1,0,0
185,19,1,0,0
186,19,1,0,0
187,19,1,0,0
188,19,1,0,0
189,19,1,0,0
190,19,1,0,0
191,19,1,0,0
192,19,1,0,0
193,19,1,0,0
0,30,0,1,0
1,30,0,1,0
2,30,0,1,0
3,30,0,1,0
4,30,0,1,0
5,30,0,1,0
6,30,0,1,0
7,30,0,1,0
8,30,0,1,0
9,30,0,1,0
10,30,0,1,0
11,29,0,1,0
12,29,0,1,0
13,29,0,1,0
14,29,0,1,0
15,29,0,1,0
16,29,0,1,0
17,29,0,1,0
18,28,0,1,0
19,28,0,1,0
20,28,0,1,0
21,28,0,1,0
22,28,0,1,0
23,28,0,1,0
24,28,0,1,0
25,28,0,1,0
26,28,0,1,0
27,28,0,1,0
28,28,0,1,0
29,28,0,1,0
30,28,0,1,0
31,28,0,1,0
32,28,0,1,0
33,28,0,1,0
34,28,0,1,0
35,28,0,1,0
36,28,0,1,0
37,28,0,1,0
38,28,0,1,0
39,28,0,1,0
40,28,0,1,0
41,28,0,1,0
42,28,0,1,0
43,28,0,1,0
44,28,0,1,0
45,28,0,1,0
46,28,0,1,0
47,28,0,1,0
48,28,0,1,0
49,28,0,1,0
50,28,0,1,0
51,28,0,1,0
52,28,0,1,0
53,28,0,1,0
54,28,0,1,0
55,28,0,1,0
56,28,0,1,0
57,28,0,1,0
58,28,0,1,0
59,28,0,1,0
60,28,0,1,0
61,27,0,1,0
62,27,0,1,0
63,27,0,1,0
64,27,0,1,0
65,27,0,1,0
66,27,0,1,0
67,27,0,1,0
68,27,0,1,0
69,27,0,1,0
70,24,0,1,0
71,24,0,1,0
72,24,0,1,0
73,24,0,1,0
74,24,0,1,0
75,24,0,1,0
76,23,0,1,0
77,23,0,1,0
78,23,0,1,0
79,23,0,1,0
80,23,0,1,0
81,22,0,1,0
82,22,0,1,0
83,21,0,1,0
84,21,0,1,0
85,21,0,1,0
86,21,0,1,0
87,21,0,1,0
88,21,0,1,0
89,21,0,1,0
90,21,0,1,0
91,21,0,1,0
92,21,0,1,0
93,21,0,1,0
94,21,0,1,0
95,21,0,1,0
96,21,0,1,0
97,21,0,1,0
98,21,0,1,0
99,21,0,1,0
100,21,0,1,0
101,21,0,1,0
102,21,0,1,0
103,21,0,1,0
104,21,0,1,0
105,21,0,1,0
106,21,0,1,0
107,21,0,1,0
108,21,0,1,0
109,21,0,1,0
110,20,0,1,0
111,20,0,1,0
112,20,0,1,0
113,20,0,1,0
114,20,0,1,0
115,18,0,1,0
116,17,0,1,0
117,16,0,1,0
118,16,0,1,0
119,16,0,1,0
120,15,0,1,0
121,15,0,1,0
122,14,0,1,0
123,14,0,1,0
124,14,0,1,0
125,14,0,1,0
126,14,0,1,0
127,14,0,1,0
128,14,0,1,0
129,14,0,1,0
130,13,0,1,0
131,13,0,1,0
132,13,0,1,0
133,13,0,1,0
134,13,0,1,0
135,13,0,1,0
136,13,0,1,0
137,13,0,1,0
138,13,0,1,0
139,13,0,1,0
140,12,0,1,0
141,12,0,1,0
142,12,0,1,0
143,12,0,1,0
144,12,0,1,0
145,12,0,1,0
146,12,0,1,0
147,12,0,1,0
148,12,0,1,0
149,12,0,1,0
150,12,0,1,0
151,12,0,1,0
152,12,0,1,0
153,12,0,1,0
154,12,0,1,0
155,12,0,1,0
156,11,0,1,0
157,11,0,1,0
158,11,0,1,0
159,11,0,1,0
160,11,0,1,0
161,11,0,1,0
162,11,0,1,0
163,11,0,1,0
164,11,0,1,0
165,11,0,1,0
166,11,0,1,0
167,10,0,1,0
168,10,0,1,0
169,10,0,1,0
170,10,0,1,0
171,10,0,1,0
172,10,0,1,0
173,10,0,1,0
174,10,0,1,0
175,10,0,1,0
176,10,0,1,0
177,10,0,1,0
178,10,0,1,0
179,10,0,1,0
180,10,0,1,0
181,10,0,1,0
182,10,0,1,0
183,10,0,1,0
184,10,0,1,0
185,10,0,1,0
186,10,0,1,0
187,10,0,1,0
188,10,0,1,0
189,10,0,1,0
190,10,0,1,0
191,9,0,1,0
192,9,0,1,0
193,9,0,1,0
0,30,0,0,1
1,30,0,0,1
2,30,0,0,1
3,30,0,0,1
4,30,0,0,1
5,30,0,0,1
6,30,0,0,1
7,30,0,0,1
8,30,0,0,1
9,30,0,0,1
10,30,0,0,1
11,23,0,0,1
12,21,0,0,1
13,18,0,0,1
14,17,0,0,1
15,17,0,0,1
16,17,0,0,1
17,17,0,0,1
18,17,0,0,1
19,17,0,0,1
20,17,0,0,1
21,17,0,0,1
22,17,0,0,1
23,17,0,0,1
24,17,0,0,1
25,15,0,0,1
26,15,0,0,1
27,15,0,0,1
28,15,0,0,1
29,14,0,0,1
30,14,0,0,1
31,14,0,0,1
32,14,0,0,1
33,14,0,0,1
34,13,0,0,1
35,13,0,0,1
36,13,0,0,1
37,13,0,0,1
38,13,0,0,1
39,10,0,0,1
40,10,0,0,1
41,10,0,0,1
42,10,0,0,1
43,10,0,0,1
44,10,0,0,1
45,10,0,0,1
46,10,0,0,1
47,10,0,0,1
48,10,0,0,1
49,10,0,0,1
50,10,0,0,1
51,10,0,0,1
52,10,0,0,1
53,10,0,0,1
54,10,0,0,1
55,9,0,0,1
56,9,0,0,1
57,9,0,0,1
58,8,0,0,1
59,8,0,0,1
60,8,0,0,1
61,8,0,0,1
62,8,0,0,1
63,8,0,0,1
64,7,0,0,1
65,7,0,0,1
66,6,0,0,1
67,6,0,0,1
68,6,0,0,1
69,6,0,0,1
70,4,0,0,1
71,4,0,0,1
72,4,0,0,1
73,4,0,0,1
74,4,0,0,1
75,4,0,0,1
76,4,0,0,1
77,3,0,0,1
78,3,0,0,1
79,3,0,0,1
80,3,0,0,1
81,3,0,0,1
82,3,0,0,1
83,3,0,0,1
84,3,0,0,1
85,2,0,0,1
86,2,0,0,1
87,2,0,0,1
88,2,0,0,1
89,2,0,0,1
90,2,0,0,1
91,2,0,0,1
92,2,0,0,1
93,2,0,0,1
94,1,0,0,1
95,0,0,0,1
